"id","questionid","tagid"
"1","1","1"
"2","1","4"
"3","2","1"
"4","3","1"
"5","4","1"
"6","5","1"
"7","5","4"
"8","6","2"
"9","7","1"
"10","7","2"
"11","7","3"
"12","7","6"
"13","8","2"
"14","9","3"
"15","10","2"
"16","11","5"
"17","12","5"
"18","13","10"
"19","14","10"
"20","15","10"
"21","16","8"
"22","17","9"
"23","17","8"
"25","24","6"
"388","387","6"
"390","389","7"
"392","391","7"
"394","393","7"
"396","395","7"
"398","397","7"
"400","399","7"
"402","403","11"
"406","405","2"
"426","425","3"
"500","25","1"
